match_id,season,match_date,league,home_team,away_team,home_score,away_score,possession_home,possession_away,shots_home,shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,corners_home,corners_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,fouls_home,fouls_away,offsides_home,offsides_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goalkeeper_saves_home,goalkeeper_saves_away,Computed_Home_Elo,Computed_Away_Elo,Computed_Elo_Diff,Computed_HFA,Home_RestDays,Home_Shots_5,Home_SoT_5,Home_Corners_5,Home_Poss_5,Home_Goals_5,Home_Conceded_5,Home_Points_5,Home_YellowCards_5,Home_Saves_5,Away_RestDays,Away_Shots_5,Away_SoT_5,Away_Corners_5,Away_Poss_5,Away_Goals_5,Away_Conceded_5,Away_Points_5,Away_YellowCards_5,Away_Saves_5,Home_H2H_Pts_3,Away_H2H_Pts_3,Odd_Home,Odd_Draw,Odd_Away
fmmUsuq2,2020,2020-08-30 18:00:00,,Univ. Craiova,Astra Giurgiu,2,0,,,15.0,4.0,8.0,1.0,7.0,3.0,7.0,6.0,0,4,0,1,11.0,11.0,1.0,1.0,12.0,12.0,21.0,33.0,1.0,6.0,1211.4021124578576,1180.2927698735382,79.98747814317198,48.87813555885248,8.0,,,,,,,,,,7.0,,,,,,,,,,,,1.57,3.8,5.52
dhRC6OL2,2020,2020-08-30 21:00:00,,FCSB,FC Viitorul,3,0,62.0,38.0,15.0,4.0,10.0,2.0,5.0,2.0,10.0,1.0,0,1,0,0,13.0,17.0,2.0,1.0,18.0,15.0,19.0,21.0,2.0,7.0,1219.7072301264618,1198.5949141758394,70.8111485131808,49.69883256255843,8.0,,,,,,,,,,8.0,,,,,,,,,,,,1.8,3.47,4.24
pSxT2tLR,2020,2020-08-31 21:00:00,,Chindia Targoviste,Dinamo Bucuresti,1,0,45.0,55.0,6.0,4.0,2.0,0.0,4.0,4.0,5.0,4.0,4,0,0,0,20.0,18.0,3.0,2.0,20.0,23.0,35.0,36.0,0.0,1.0,1191.3362166990646,1198.651109884786,43.42182541086754,50.73671859658885,8.0,,,,,,,,,,7.0,,,,,,,,,,,,5.2,3.82,1.6
Iuc6GakR,2020,2020-09-11 18:00:00,,FC Arges,UTA Arad,1,1,,,8.0,8.0,6.0,4.0,2.0,4.0,5.0,5.0,1,2,0,0,11.0,24.0,1.0,1.0,25.0,12.0,25.0,23.0,3.0,5.0,1176.4423569284013,1200.2390689982644,27.596757976077242,51.393470045940454,14.0,,,,,,,,3.0,3.0,13.0,,,,,,,,1.5,3.0,,,,,
MD3cILKE,2020,2020-09-11 21:00:00,,Dinamo Bucuresti,FC Botosani,1,1,68.0,32.0,10.0,3.0,5.0,1.0,5.0,2.0,6.0,1.0,2,3,0,1,15.0,15.0,3.0,4.0,19.0,18.0,29.0,29.0,0.0,4.0,1189.8944238934312,1228.550467553,12.677978962957013,51.334022622525914,11.0,,,,,,,,1.0,1.0,12.0,,,,,,,,3.0,3.0,,,,,
4xg2HuzL,2020,2020-09-12 18:00:00,,Poli Iasi,Gaz Metan Medias,1,4,55.0,45.0,15.0,8.0,9.0,7.0,6.0,1.0,11.0,4.0,3,2,0,0,19.0,12.0,6.0,0.0,12.0,25.0,22.0,9.0,3.0,8.0,1191.542578096103,1203.4588921380277,39.39035310354984,51.306667145474584,13.0,,,,,,,,2.0,2.0,15.0,,,,,,,,2.0,3.0,,,,,
zLqYBJcr,2020,2020-09-12 21:00:00,,FC Voluntari,FCSB,2,1,40.0,60.0,6.0,9.0,4.0,5.0,2.0,4.0,5.0,7.0,2,0,0,0,13.0,14.0,1.0,2.0,16.0,14.0,29.0,30.0,4.0,2.0,1209.8355054112994,1233.5457105802006,26.15077380897401,49.8609789778752,15.0,,,,,,,,3.0,1.0,13.0,,,,,,,,1.5,2.5,,,,,
WnwsAcSf,2020,2020-09-13 19:00:00,,Astra Giurgiu,Sepsi Sf. Gheorghe,2,2,40.0,60.0,6.0,7.0,3.0,7.0,3.0,0.0,5.0,11.0,5,3,1,0,9.0,19.0,3.0,1.0,20.0,12.0,19.0,20.0,5.0,1.0,1169.350143157459,1190.5996660252015,29.3051114893633,50.55463435710593,14.0,,,,,,,,3.5,7.0,14.0,,,,,,,,2.0,3.5,,,2.77,3.02,2.55
Awxo9Hs1,2020,2020-09-13 21:30:00,,CFR Cluj,FC Hermannstadt,1,0,70.0,30.0,13.0,3.0,5.0,0.0,8.0,3.0,10.0,0.0,0,3,0,0,9.0,15.0,1.0,0.0,15.0,10.0,36.0,13.0,0.0,4.0,1209.3528019605358,1199.6227963763897,60.2215293665879,50.49152378244195,15.0,,,,,,,,2.5,0.5,15.0,,,,,,,,2.0,5.0,,,1.47,3.93,6.79
EBrxBwDl,2020,2020-09-14 21:00:00,,FC Viitorul,Univ. Craiova,1,4,47.0,53.0,6.0,13.0,2.0,7.0,4.0,6.0,4.0,2.0,4,1,1,0,13.0,15.0,0.0,0.0,15.0,13.0,12.0,16.0,3.0,1.0,1184.7564337221006,1222.344739173937,13.524506136585615,51.1128115884218,15.0,,,,,,,,1.0,3.5,15.0,,,,,,,,1.0,2.5,,,2.9,3.13,2.41
dWHuVb4K,2020,2020-09-18 18:00:00,,Chindia Targoviste,FC Hermannstadt,1,3,48.0,52.0,9.0,6.0,2.0,5.0,7.0,1.0,7.0,3.0,3,2,0,0,21.0,21.0,0.0,0.0,21.0,21.0,25.0,27.0,2.0,1.0,1200.0929026904194,1191.3389589633252,58.51717552383161,49.763231796737564,17.0,,,,,,,,3.5,1.5,4.0,6.333333333333333,2.6666666666666665,2.6666666666666665,,1.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,4.666666666666667,,,2.81,2.95,2.61
